expansion_factor,k,data_size,seed,num_latents,fvu,dead_feature_pct,mean_sparsity,clap_delta,lpaps,interpretability_score,train_time_s
4,32,100,42,256,0.3854959011077881,0.27734375,130.10000610351562,-1.0,-1.0,-1.0,0.5359595976769924
4,32,100,123,256,0.37528061866760254,0.27734375,126.0,-1.0,-1.0,-1.0,0.3095576809719205
4,32,100,456,256,0.41084054112434387,0.28125,129.8000030517578,-1.0,-1.0,-1.0,0.23674030601978302
4,32,500,42,256,0.28738653659820557,0.00390625,124.6199951171875,-1.0,-1.0,-1.0,0.3253507912158966
4,32,500,123,256,0.2773602306842804,0.00390625,124.77999877929688,-1.0,-1.0,-1.0,0.11533116642385721
4,32,500,456,256,0.2799663245677948,0.00390625,125.57999420166016,-1.0,-1.0,-1.0,0.15372780803591013
4,32,1000,42,256,0.26301470398902893,0.0,125.43000030517578,-1.0,-1.0,-1.0,0.12974687665700912
4,32,1000,123,256,0.2678583860397339,0.0,125.41999816894531,-1.0,-1.0,-1.0,0.2330141318961978
4,32,1000,456,256,0.28131213784217834,0.0,125.50999450683594,-1.0,-1.0,-1.0,0.16942847706377506
4,32,5000,42,256,0.2527610876560211,0.0,125.01599719238281,-1.0,-1.0,-1.0,0.1699578957632184
4,32,5000,123,256,0.24878486585617066,0.0,125.15199542236329,-1.0,-1.0,-1.0,0.26811758894473314
4,32,5000,456,256,0.25733381390571597,0.0,124.90199609375,-1.0,-1.0,-1.0,0.1854728339239955
4,64,100,42,256,0.31340354681015015,0.0625,127.4000015258789,-1.0,-1.0,-1.0,0.32692280039191246
4,64,100,123,256,0.2787603437900543,0.07421875,122.20000457763672,-1.0,-1.0,-1.0,0.14229560643434525
4,64,100,456,256,0.3043106496334076,0.046875,126.70000457763672,-1.0,-1.0,-1.0,0.20430183969438076
4,64,500,42,256,0.1862715482711792,0.0,122.7199935913086,-1.0,-1.0,-1.0,0.3451355844736099
4,64,500,123,256,0.17368251085281372,0.0,122.83999633789062,-1.0,-1.0,-1.0,0.15597306191921234
4,64,500,456,256,0.18464088439941406,0.0,123.15999603271484,-1.0,-1.0,-1.0,0.18518291786313057
4,64,1000,42,256,0.1691923290491104,0.0,123.02999877929688,-1.0,-1.0,-1.0,0.15635156258940697
4,64,1000,123,256,0.16889069974422455,0.0,122.81999969482422,-1.0,-1.0,-1.0,0.13474694080650806
4,64,1000,456,256,0.1799895316362381,0.0,123.0199966430664,-1.0,-1.0,-1.0,0.14797149784862995
4,64,5000,42,256,0.16141071343421937,0.0,123.08799591064454,-1.0,-1.0,-1.0,0.15944952797144651
4,64,5000,123,256,0.15651454293727876,0.0,123.42399499511718,-1.0,-1.0,-1.0,0.2036391505971551
4,64,5000,456,256,0.16536398887634277,0.0,122.62599499511718,-1.0,-1.0,-1.0,0.2504831301048398
4,128,100,42,256,0.24762111902236938,0.0,127.70000457763672,-1.0,-1.0,-1.0,0.34644150268286467
4,128,100,123,256,0.2221614420413971,0.0078125,122.20000457763672,-1.0,-1.0,-1.0,0.14128332864493132
4,128,100,456,256,0.233733668923378,0.0,128.8000030517578,-1.0,-1.0,-1.0,0.15884334407746792
4,128,500,42,256,0.13056020438671112,0.0,124.19999694824219,-1.0,-1.0,-1.0,0.3350804829970002
4,128,500,123,256,0.12080457806587219,0.0,124.0,-1.0,-1.0,-1.0,0.18479709047824144
4,128,500,456,256,0.12842369079589844,0.0,123.7199935913086,-1.0,-1.0,-1.0,0.20951319858431816
4,128,1000,42,256,0.11511533707380295,0.0,123.79000091552734,-1.0,-1.0,-1.0,0.30694566667079926
4,128,1000,123,256,0.11396447569131851,0.0,123.8499984741211,-1.0,-1.0,-1.0,0.25115589145570993
4,128,1000,456,256,0.12200215458869934,0.0,124.43000030517578,-1.0,-1.0,-1.0,0.14980826620012522
4,128,5000,42,256,0.10863164895772934,0.0,124.0539951171875,-1.0,-1.0,-1.0,0.16246046870946884
4,128,5000,123,256,0.10460213816165924,0.0,124.50599841308593,-1.0,-1.0,-1.0,0.15296500269323587
4,128,5000,456,256,0.11249945694208145,0.0,123.8819970703125,-1.0,-1.0,-1.0,0.19689481519162655
8,8,100,42,512,0.6174564957618713,0.853515625,259.8000183105469,-1.0,-1.0,-1.0,0.4366081962361932
8,8,100,123,512,0.5978031158447266,0.857421875,258.0,-1.0,-1.0,-1.0,0.20163984410464764
8,8,100,456,512,0.5967972278594971,0.865234375,258.0,-1.0,-1.0,-1.0,0.2223320258781314
8,8,500,42,512,0.5118536353111267,0.515625,259.239990234375,-1.0,-1.0,-1.0,0.42566295992583036
8,8,500,123,512,0.5248346924781799,0.513671875,260.8999938964844,-1.0,-1.0,-1.0,0.13120304234325886
8,8,500,456,512,0.5004560351371765,0.4921875,258.1399841308594,-1.0,-1.0,-1.0,0.12865618523210287
8,8,1000,42,512,0.4957510530948639,0.283203125,259.66998291015625,-1.0,-1.0,-1.0,0.12485116068273783
8,8,1000,123,512,0.4998125731945038,0.3046875,260.55999755859375,-1.0,-1.0,-1.0,0.11460648477077484
8,8,1000,456,512,0.5021702647209167,0.294921875,262.3899841308594,-1.0,-1.0,-1.0,0.11080988124012947
8,8,5000,42,512,0.47695211338996885,0.01953125,259.93399609375,-1.0,-1.0,-1.0,0.12409744970500469
8,8,5000,123,512,0.479848307132721,0.025390625,258.88199194335937,-1.0,-1.0,-1.0,0.12943680118769407
8,8,5000,456,512,0.4764425339698791,0.01953125,259.75799951171877,-1.0,-1.0,-1.0,0.16253028996288776
8,16,100,42,512,0.5095162391662598,0.728515625,256.8999938964844,-1.0,-1.0,-1.0,0.30227405205368996
8,16,100,123,512,0.4698094427585602,0.740234375,258.1000061035156,-1.0,-1.0,-1.0,0.14186061173677444
8,16,100,456,512,0.5142876505851746,0.75,258.8999938964844,-1.0,-1.0,-1.0,0.11944807507097721
8,16,500,42,512,0.3955300748348236,0.25390625,251.83999633789062,-1.0,-1.0,-1.0,0.3045119531452656
8,16,500,123,512,0.3981620967388153,0.2421875,253.97999572753906,-1.0,-1.0,-1.0,0.14996771421283484
8,16,500,456,512,0.38075295090675354,0.228515625,251.9199981689453,-1.0,-1.0,-1.0,0.16127370949834585
8,16,1000,42,512,0.3721996247768402,0.099609375,251.83999633789062,-1.0,-1.0,-1.0,0.21358504705131054
8,16,1000,123,512,0.364721417427063,0.07421875,252.6599884033203,-1.0,-1.0,-1.0,0.26700930669903755
8,16,1000,456,512,0.3686598539352417,0.0859375,253.51998901367188,-1.0,-1.0,-1.0,0.2339491844177246
8,16,5000,42,512,0.34766281938552857,0.001953125,251.33599670410158,-1.0,-1.0,-1.0,0.17717694956809282
8,16,5000,123,512,0.3441108272075653,0.0,250.6419914550781,-1.0,-1.0,-1.0,0.1495124138891697
8,16,5000,456,512,0.3452603306770325,0.001953125,250.50999035644531,-1.0,-1.0,-1.0,0.23234855197370052
8,32,100,42,512,0.5562140345573425,0.53125,254.1999969482422,-1.0,-1.0,-1.0,0.3923537749797106
8,32,100,123,512,0.4582543671131134,0.537109375,250.3000030517578,-1.0,-1.0,-1.0,0.20131387189030647
8,32,100,456,512,0.501961350440979,0.55078125,253.40000915527344,-1.0,-1.0,-1.0,0.30818712897598743
8,32,500,42,512,0.2970747947692871,0.087890625,241.8199920654297,-1.0,-1.0,-1.0,0.27847680170089006
8,32,500,123,512,0.30918848514556885,0.060546875,245.79998779296875,-1.0,-1.0,-1.0,0.14953791722655296
8,32,500,456,512,0.30479487776756287,0.04296875,242.09999084472656,-1.0,-1.0,-1.0,0.11816124618053436
8,32,1000,42,512,0.2796548902988434,0.0078125,243.5800018310547,-1.0,-1.0,-1.0,0.12053446099162102
8,32,1000,123,512,0.28142544627189636,0.00390625,243.39999389648438,-1.0,-1.0,-1.0,0.14514381997287273
